Origem;UF_Origem;Destino;UF_Destino;Passageiros(PAX);viagens necessárias em regime de eficiência (ICM);empresas;classificação do mercado
Abadia Dos Dourados;MG;Sao Paulo;SP;3;1;1;SUBSIDIÁRIO
Abadiania;GO;Barra Do Garcas;MT;1;1;2;SUBSIDIÁRIO
Abadiania;GO;Bom Jesus Da Lapa;BA;120;5;3;SUBSIDIÁRIO
Abadiania;GO;Brasilia;DF;5760;206;6;SUBSIDIÁRIO
Abadiania;GO;Brumado;BA;9;1;3;SUBSIDIÁRIO
Abadiania;GO;Caetite;BA;2;1;3;SUBSIDIÁRIO
Abadiania;GO;Cuiaba;MT;2;1;2;SUBSIDIÁRIO
Abadiania;GO;Eunapolis;BA;10;1;2;SUBSIDIÁRIO
Abadiania;GO;Itapetinga;BA;10;1;2;SUBSIDIÁRIO
Abadiania;GO;Itarantim;BA;2;1;2;SUBSIDIÁRIO
Abadiania;GO;Porto Seguro;BA;4;1;2;SUBSIDIÁRIO
Abadiania;GO;Santa Maria Da Vitoria;BA;3;1;4;SUBSIDIÁRIO
Abadiania;GO;Vitoria Da Conquista;BA;265;10;3;SUBSIDIÁRIO
Abaira;BA;Sao Paulo;SP;29;2;1;SUBSIDIÁRIO
Abelardo Luz;SC;Agua Boa;MT;1;1;1;SUBSIDIÁRIO
Abelardo Luz;SC;Americana;SP;2;1;1;SUBSIDIÁRIO
Abelardo Luz;SC;Andradina;SP;2;1;1;SUBSIDIÁRIO
Abelardo Luz;SC;Assis Chateaubriand;PR;193;7;1;SUBSIDIÁRIO
Abelardo Luz;SC;Barao De Cotegipe;RS;14;1;1;SUBSIDIÁRIO
Abelardo Luz;SC;Brasilia;DF;9;1;1;SUBSIDIÁRIO
Abelardo Luz;SC;Campinas;SP;80;3;1;SUBSIDIÁRIO
Abelardo Luz;SC;Campo Mourao;PR;214;8;1;SUBSIDIÁRIO
Abelardo Luz;SC;Canarana;MT;2;1;1;SUBSIDIÁRIO
Abelardo Luz;SC;Capitao Leonidas Marques;PR;3;1;1;SUBSIDIÁRIO
Abelardo Luz;SC;Carazinho;RS;4;1;1;SUBSIDIÁRIO
Abelardo Luz;SC;Casca;RS;5;1;1;SUBSIDIÁRIO
Abelardo Luz;SC;Cascavel;PR;396;15;4;SUBSIDIÁRIO
Abelardo Luz;SC;Caxias Do Sul;RS;165;6;1;SUBSIDIÁRIO
Abelardo Luz;SC;Ceu Azul;PR;24;1;1;SUBSIDIÁRIO
Abelardo Luz;SC;Cianorte;PR;137;5;1;SUBSIDIÁRIO
Abelardo Luz;SC;Clevelandia;PR;661;24;3;SUBSIDIÁRIO
